Cod_ibge 6 digitos;Cod_ibge;Município;Cod_RA;Região Administrativa;Região de Governo;Região Metropolitana;Subdivisao_RMSP;Macrometropole;Unidades Hidrográficas de Gerenciamento de Recursos Hídricos - URHIS;População 2020;Porte de população 2020;Latitude;Longitude
353360;3533601;Nuporanga;695;Região Administrativa de Franca;Região de Governo de São Joaquim da Barra;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;08 - Sapucaí/Grande;7268;Mais de 5 mil até 10 mil;-20,70;-47,73
353370;3533700;Ocauçu;692;Região Administrativa de Marília;Região de Governo de Marília;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;4146;Até 5 mil;-22,44;-49,94
353380;3533809;Óleo;692;Região Administrativa de Marília;Região de Governo de Ourinhos;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;2527;Até 5 mil;-22,95;-49,38
353390;3533908;Olímpia;694;Região Administrativa de Barretos;Região de Governo de Barretos;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;52516;Mais de 50 mil até 100 mil;-20,70;-48,96
353400;3534005;Onda Verde;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;4225;Até 5 mil;-20,62;-49,24
353410;3534104;Oriente;692;Região Administrativa de Marília;Região de Governo de Marília;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;6265;Mais de 5 mil até 10 mil;-22,14;-50,09
353420;3534203;Orindiúva;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;6866;Mais de 5 mil até 10 mil;-20,20;-49,36
353430;3534302;Orlândia;695;Região Administrativa de Franca;Região de Governo de São Joaquim da Barra;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;12 - Baixo Pardo/Grande;42266;Mais de 20 mil até 50 mil;-20,70;-47,91
353440;3534401;Osasco;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Oeste;RMSP;06 - Alto Tietê;680964;Mais de 500 mil até 1 milhão;-23,53;-46,79
353450;3534500;Oscar Bressane;692;Região Administrativa de Marília;Região de Governo de Marília;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;2514;Até 5 mil;-22,30;-50,26
353460;3534609;Osvaldo Cruz;691;Região Administrativa de Presidente Prudente;Região de Governo de Adamantina;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;31263;Mais de 20 mil até 50 mil;-21,73;-50,87
353470;3534708;Ourinhos;692;Região Administrativa de Marília;Região de Governo de Ourinhos;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;110489;Mais de 100 mil até 200 mil;-22,95;-49,85
353480;3534807;Ouro Verde;691;Região Administrativa de Presidente Prudente;Região de Governo de Dracena;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;8268;Mais de 5 mil até 10 mil;-21,51;-51,74
353475;3534757;Ouroeste;689;Região Administrativa de São José do Rio Preto;Região de Governo de Fernandópolis;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;9777;Mais de 5 mil até 10 mil;-19,92;-50,40
353490;3534906;Pacaembu;691;Região Administrativa de Presidente Prudente;Região de Governo de Adamantina;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;13056;Mais de 10 mil até 20 mil;-21,50;-51,27
353500;3535002;Palestina;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;12160;Mais de 10 mil até 20 mil;-20,32;-49,50
353510;3535101;Palmares Paulista;689;Região Administrativa de São José do Rio Preto;Região de Governo de Catanduva;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;12997;Mais de 10 mil até 20 mil;-21,10;-48,83
353520;3535200;Palmeira d'Oeste;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;9130;Mais de 5 mil até 10 mil;-20,44;-50,75
353530;3535309;Palmital;692;Região Administrativa de Marília;Região de Governo de Assis;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;21599;Mais de 20 mil até 50 mil;-22,83;-50,22
